component	n_outer	model_name	crop_combo_expected_ba_mean	crop_combo_expected_ba_min	crop_combo_worst_ba_mean	crop_combo_worst_ba_min	crop_combo_expected_min_recall_mean	subject_ba_mean	hc_recall_mean	dep_recall_mean	sort_ba_mean	sort_ba_min
tsc_f8	5	tsception	0.7800694719999999	0.5335192	0.5875	0.3125	0.666970624	0.825	0.85	0.8	0.85	0.625
p01	5	deformer_lite	0.7567252800000001	0.576896	0.5875	0.375	0.5789660160000001	0.775	0.75	0.8	0.85	0.625
def_conv32	5	deformer_lite	0.7498058559999999	0.587604	0.625	0.4375	0.5920330880000001	0.7625	0.775	0.75	0.8125	0.625
top_tsc8	5	tsception	0.7367333439999999	0.57772	0.5875	0.4375	0.558963648	0.7625	0.825	0.7	0.775	0.625
def_conv24	5	deformer_lite	0.72232864	0.5334552	0.5875	0.375	0.537806976	0.7	0.75	0.65	0.775	0.625
tsc_f4	5	tsception	0.7121224959999999	0.51081088	0.5625	0.4375	0.53036896	0.7375	0.725	0.75	0.775	0.625
tri_context	5	tri_context_gate	0.6969171519999999	0.63758576	0.5375	0.375	0.5054860160000001	0.7125	0.675	0.75	0.7375	0.625
