strategy	n_outer	components	weights_seen	threshold_objective	recall_floor_pass_outer_count	crop_combo_expected_ba_mean	crop_combo_expected_ba_min	crop_combo_worst_ba_mean	crop_combo_worst_ba_min	crop_combo_expected_min_recall_mean	crop_combo_expected_recall_gap_mean	crop_combo_dep_over_hc_mean	subject_ba_mean	hc_recall_mean	dep_recall_mean	dep_over_hc_mean	sort_ba_mean	sort_ba_min	sort_min_recall_mean
tsc_pair_p01_w45_45_10_fixed05	5	tsc_f8+top_tsc8+p01	tsc_f8=0.45;top_tsc8=0.45;p01=0.1	fixed_0_5	3	0.8119339199999999	0.6667536	0.6375	0.4375	0.704135552	0.215596736	0.9014504552169106	0.8125	0.875	0.75	0.8642857142857142	0.8125	0.625	0.75
tsc_pair_p01_w40_40_20_fixed05	5	tsc_f8+top_tsc8+p01	tsc_f8=0.4;top_tsc8=0.4;p01=0.2	fixed_0_5	3	0.8104243199999999	0.6608496	0.6625	0.4375	0.6931126400000001	0.23462336	0.8843213180211805	0.8125	0.875	0.75	0.8642857142857142	0.8125	0.625	0.75
tsc_pair_def32_w45_45_10_fixed05	5	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.45;top_tsc8=0.45;def_conv32=0.1	fixed_0_5	3	0.8089183999999999	0.665644	0.625	0.375	0.698907136	0.22002252800000002	0.9314809364303589	0.8125	0.875	0.75	0.8642857142857142	0.8125	0.625	0.75
tsc_pair_tri_w40_40_20_fixed05	5	tsc_f8+top_tsc8+tri_context	tsc_f8=0.4;top_tsc8=0.4;tri_context=0.2	fixed_0_5	3	0.8055304	0.677808	0.6375	0.4375	0.6890864	0.23288799999999998	0.9225094849477514	0.8	0.85	0.75	0.9023809523809522	0.8125	0.625	0.75
tsc_pair_tri_w45_45_10_fixed05	5	tsc_f8+top_tsc8+tri_context	tsc_f8=0.45;top_tsc8=0.45;tri_context=0.1	fixed_0_5	3	0.8044504	0.677464	0.6375	0.4375	0.690728576	0.227443648	0.923746074929421	0.8125	0.875	0.75	0.8642857142857142	0.8125	0.625	0.75
tsc_pair_def32_w40_40_20_fixed05	5	tsc_f8+top_tsc8+def_conv32	tsc_f8=0.4;top_tsc8=0.4;def_conv32=0.2	fixed_0_5	3	0.7965376	0.646848	0.6375	0.375	0.6857557120000001	0.221563776	0.9559209374116115	0.8	0.85	0.75	0.9023809523809522	0.8125	0.625	0.75
p01_tsc_f8_equal_depfloor	5	p01+tsc_f8	p01=0.5;tsc_f8=0.5	dep_recall_floor_0p8_hc	4	0.72608304	0.5462	0.575	0.375	0.532563776	0.38703852800000005	1.5234690826876227	0.725	0.65	0.8	1.6247619047619046	0.8125	0.625	0.75
p01_tsc_f8_select2_depfloor	5	p01+tsc_f8	p01=0.2;tsc_f8=0.8|p01=0.45;tsc_f8=0.55|p01=0.5;tsc_f8=0.5|p01=0.65;tsc_f8=0.35|p01=0.7;tsc_f8=0.3	dep_recall_floor_0p8_hc	5	0.7018143680000001	0.5127576	0.55	0.3125	0.51888512	0.36585849600000003	1.6923597377318085	0.7	0.55	0.85	1.8780952380952383	0.8125	0.625	0.75
