selection_scope	weight_name	win_temp	win_platt	sub_temp	inner_sort_ba_mean	inner_sort_ba_min	inner_subject_ba_mean	inner_min_recall_mean	inner_recall_gap_mean
outer0_inner	w0p00_0p00_1p00	0.0	0.0	1.0	0.7671717171717173	0.7090909090909091	0.7045454545454545	0.5666666666666668	0.2757575757575758
outer1_inner	w0p00_0p00_1p00	0.0	0.0	1.0	0.6257575757575757	0.5636363636363637	0.6767676767676768	0.4424242424242424	0.46868686868686876
outer2_inner	w0p00_0p10_0p90	0.0	0.1	0.9	0.7727272727272728	0.6136363636363636	0.7616161616161615	0.6757575757575758	0.17171717171717174
outer3_inner	w0p00_0p25_0p75	0.0	0.25	0.75	0.7242424242424242	0.6136363636363636	0.7242424242424242	0.6333333333333334	0.18181818181818185
outer4_inner	w0p35_0p30_0p35	0.35	0.3	0.35	0.76010101010101	0.7	0.6616161616161617	0.4727272727272727	0.37777777777777777
all_inner_global	w0p00_0p50_0p50	0.0	0.5	0.5	0.7114141414141414	0.5636363636363637	0.6507070707070707	0.4377777777777779	0.4258585858585858
