strategy	weights	sort_mean	sort_min	sort_min_recall_mean	subject_ba_mean	subject_ba_min	crop_combo_expected_ba_mean	crop_combo_worst_ba_min	crop_combo_expected_min_recall_mean	crop_combo_expected_recall_gap_mean
p3_global_inner_selected	w0p00_0p50_0p50	0.8125	0.625	0.75	0.7625	0.5625	0.759039328	0.5	0.598740096	0.320598464
p2_w0p25_0p15_0p60	w0p25_0p15_0p60	0.8125	0.625	0.75	0.7625	0.625	0.755777664	0.5	0.5793480959999999	0.35285913599999996
p2_w0p20_0p20_0p60	w0p20_0p20_0p60	0.8125	0.625	0.75	0.75	0.5625	0.752976608	0.5	0.583079232	0.339794752
equal	w0p33_0p33_0p33	0.8125	0.625	0.75	0.7625	0.5625	0.7488321920000001	0.5	0.5901568000000001	0.317350784
p3_per_outer_inner_selected	w0p00_0p00_1p00;w0p00_0p10_0p90;w0p00_0p25_0p75;w0p35_0p30_0p35	0.8125	0.625	0.75	0.725	0.5625	0.726982016	0.5	0.5226056320000001	0.408752768
