machine,source_archive,source_archive_sha256,remote_generated_at,run_id,run_dir,protocol,route_id,run_status,manifest_jobs,prediction_jobs,missing_artifacts,board_file,audit_file,jobs_file,board_n_jobs,mean,std,min,max
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090410_001_p1_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,outputs/autofill_E20_20260524_090410_001_p1_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,p1_repeated_group_kfold,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,complete,25,25,0,outputs/autofill_E20_20260524_090410_001_p1_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_board.csv,outputs/autofill_E20_20260524_090410_001_p1_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_audit.json,outputs/autofill_E20_20260524_090410_001_p1_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_jobs.csv,25,0.7101590826666666,0.044951047005592014,0.6153402666666666,0.8026346666666665
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090414_002_p1_sliding_window_conformer_lite,outputs/autofill_E20_20260524_090414_002_p1_sliding_window_conformer_lite/sliding_window_conformer_lite,p1_repeated_group_kfold,sliding_window_conformer_lite,complete,25,25,0,outputs/autofill_E20_20260524_090414_002_p1_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol1_board.csv,outputs/autofill_E20_20260524_090414_002_p1_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol1_audit.json,outputs/autofill_E20_20260524_090414_002_p1_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol1_jobs.csv,25,0.6535882133333334,0.06368911662679232,0.55122,0.7894306666666667
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090418_003_p1_sliding_window_srfnet,outputs/autofill_E20_20260524_090418_003_p1_sliding_window_srfnet/sliding_window_srfnet,p1_repeated_group_kfold,sliding_window_srfnet,complete,25,25,0,outputs/autofill_E20_20260524_090418_003_p1_sliding_window_srfnet/sliding_window_srfnet/protocol1_board.csv,outputs/autofill_E20_20260524_090418_003_p1_sliding_window_srfnet/sliding_window_srfnet/protocol1_audit.json,outputs/autofill_E20_20260524_090418_003_p1_sliding_window_srfnet/sliding_window_srfnet/protocol1_jobs.csv,25,0.6165463466666666,0.05390238394532759,0.5192373333333334,0.7142893333333333
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090422_004_p1_sliding_window_srfnet_whitening_eps3e4,outputs/autofill_E20_20260524_090422_004_p1_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4,p1_repeated_group_kfold,sliding_window_srfnet_whitening_eps3e4,complete,25,25,0,outputs/autofill_E20_20260524_090422_004_p1_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol1_board.csv,outputs/autofill_E20_20260524_090422_004_p1_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol1_audit.json,outputs/autofill_E20_20260524_090422_004_p1_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol1_jobs.csv,25,0.6023250880000001,0.051980169676110445,0.5005810666666667,0.6853866666666666
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet,outputs/autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet,p3_nested_selection,fixed_crop_car_fbstcnet,complete,20,5,0,outputs/autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_board.csv,outputs/autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_audit.json,outputs/autofill_E20_20260524_090426_005_p3_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol3_jobs.csv,5,0.7249589866666666,0.03793880106230502,0.6859613333333332,0.791696
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090430_006_p3_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,outputs/autofill_E20_20260524_090430_006_p3_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,p3_nested_selection,fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light,complete,20,5,0,outputs/autofill_E20_20260524_090430_006_p3_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol3_board.csv,outputs/autofill_E20_20260524_090430_006_p3_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol3_audit.json,outputs/autofill_E20_20260524_090430_006_p3_fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light/protocol3_jobs.csv,5,0.7127685866666666,0.032326870262269485,0.6761775999999999,0.7722346666666667
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090434_007_p3_sliding_window_conformer_lite,outputs/autofill_E20_20260524_090434_007_p3_sliding_window_conformer_lite/sliding_window_conformer_lite,p3_nested_selection,sliding_window_conformer_lite,complete,20,5,0,outputs/autofill_E20_20260524_090434_007_p3_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol3_board.csv,outputs/autofill_E20_20260524_090434_007_p3_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol3_audit.json,outputs/autofill_E20_20260524_090434_007_p3_sliding_window_conformer_lite/sliding_window_conformer_lite/protocol3_jobs.csv,5,0.6379613333333334,0.0465960235594794,0.5939466666666666,0.7264146666666668
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090438_008_p3_sliding_window_srfnet,outputs/autofill_E20_20260524_090438_008_p3_sliding_window_srfnet/sliding_window_srfnet,p3_nested_selection,sliding_window_srfnet,complete,20,5,0,outputs/autofill_E20_20260524_090438_008_p3_sliding_window_srfnet/sliding_window_srfnet/protocol3_board.csv,outputs/autofill_E20_20260524_090438_008_p3_sliding_window_srfnet/sliding_window_srfnet/protocol3_audit.json,outputs/autofill_E20_20260524_090438_008_p3_sliding_window_srfnet/sliding_window_srfnet/protocol3_jobs.csv,5,0.6348137599999999,0.027488774158856564,0.5860341333333333,0.6640370666666665
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E20_20260524_090442_009_p3_sliding_window_srfnet_whitening_eps3e4,outputs/autofill_E20_20260524_090442_009_p3_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4,p3_nested_selection,sliding_window_srfnet_whitening_eps3e4,complete,20,5,0,outputs/autofill_E20_20260524_090442_009_p3_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol3_board.csv,outputs/autofill_E20_20260524_090442_009_p3_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol3_audit.json,outputs/autofill_E20_20260524_090442_009_p3_sliding_window_srfnet_whitening_eps3e4/sliding_window_srfnet_whitening_eps3e4/protocol3_jobs.csv,5,0.6294423466666668,0.035860361410347076,0.5737437333333334,0.6713306666666666
E,remote_protocol_scores_E_20260524.tgz,fb754c4e9ccff30557535e144f1e25897817d8ff4867d40735ad6634a34537ed,2026-05-24T12:10:09+0800,autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet,outputs/autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet,p2_pseudo_public_holdout,fixed_crop_car_fbstcnet,complete,8,7,0,outputs/autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol2_board.csv,outputs/autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol2_audit.json,outputs/autofill_E_20260524_085837_001_p2_fixed_crop_car_fbstcnet/fixed_crop_car_fbstcnet/protocol2_jobs.csv,7,0.6755952380952381,0.13309928437498747,0.3541666666666667,0.7708333333333334
