machine,source_archive,source_archive_sha256,remote_generated_at,run_id,run_dir,protocol,route_id,run_status,manifest_jobs,prediction_jobs,missing_artifacts,board_file,audit_file,jobs_file,board_n_jobs,mean,std,min,max
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1908_ea_eps3e4_mconn_p2,outputs/backfill_ea_ablation_C_20260522_1908_ea_eps3e4_mconn_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light,p2_pseudo_public_holdout,fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light,complete,8,7,0,outputs/backfill_ea_ablation_C_20260522_1908_ea_eps3e4_mconn_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol2_board.csv,outputs/backfill_ea_ablation_C_20260522_1908_ea_eps3e4_mconn_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol2_audit.json,outputs/backfill_ea_ablation_C_20260522_1908_ea_eps3e4_mconn_p2/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol2_jobs.csv,7,0.6517857142857143,0.14886903571904522,0.2916666666666667,0.75
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1909_ea_eps1e3_mconn_p2,outputs/backfill_ea_ablation_C_20260522_1909_ea_eps1e3_mconn_p2/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light,p2_pseudo_public_holdout,fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light,complete,8,7,0,outputs/backfill_ea_ablation_C_20260522_1909_ea_eps1e3_mconn_p2/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol2_board.csv,outputs/backfill_ea_ablation_C_20260522_1909_ea_eps1e3_mconn_p2/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol2_audit.json,outputs/backfill_ea_ablation_C_20260522_1909_ea_eps1e3_mconn_p2/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol2_jobs.csv,7,0.6577380952380952,0.15222276014933836,0.2916666666666667,0.75
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1919_ea_eps1e3_mconn_p1_seeds123_456,outputs/backfill_ea_ablation_C_20260522_1919_ea_eps1e3_mconn_p1_seeds123_456/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light,p1_repeated_group_kfold,fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light,complete,10,10,0,outputs/backfill_ea_ablation_C_20260522_1919_ea_eps1e3_mconn_p1_seeds123_456/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_board.csv,outputs/backfill_ea_ablation_C_20260522_1919_ea_eps1e3_mconn_p1_seeds123_456/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_audit.json,outputs/backfill_ea_ablation_C_20260522_1919_ea_eps1e3_mconn_p1_seeds123_456/fixed_crop_ea_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_jobs.csv,10,0.7024559733333333,0.051135015270514325,0.6144101333333334,0.7914293333333333
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1939_noea_eps1e3_base_p1_seed42,outputs/backfill_ea_ablation_C_20260522_1939_noea_eps1e3_base_p1_seed42/fixed_crop_whitening_eps1e3_fbstcnet,p1_repeated_group_kfold,fixed_crop_whitening_eps1e3_fbstcnet,complete,5,5,0,outputs/backfill_ea_ablation_C_20260522_1939_noea_eps1e3_base_p1_seed42/fixed_crop_whitening_eps1e3_fbstcnet/protocol1_board.csv,outputs/backfill_ea_ablation_C_20260522_1939_noea_eps1e3_base_p1_seed42/fixed_crop_whitening_eps1e3_fbstcnet/protocol1_audit.json,outputs/backfill_ea_ablation_C_20260522_1939_noea_eps1e3_base_p1_seed42/fixed_crop_whitening_eps1e3_fbstcnet/protocol1_jobs.csv,5,0.7108242133333333,0.03752446665339887,0.6501933333333333,0.7634013333333333
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1945_noea_eps3e4_base_p1_seed456,outputs/backfill_ea_ablation_C_20260522_1945_noea_eps3e4_base_p1_seed456/fixed_crop_whitening_eps3e4_fbstcnet,p1_repeated_group_kfold,fixed_crop_whitening_eps3e4_fbstcnet,complete,5,5,0,outputs/backfill_ea_ablation_C_20260522_1945_noea_eps3e4_base_p1_seed456/fixed_crop_whitening_eps3e4_fbstcnet/protocol1_board.csv,outputs/backfill_ea_ablation_C_20260522_1945_noea_eps3e4_base_p1_seed456/fixed_crop_whitening_eps3e4_fbstcnet/protocol1_audit.json,outputs/backfill_ea_ablation_C_20260522_1945_noea_eps3e4_base_p1_seed456/fixed_crop_whitening_eps3e4_fbstcnet/protocol1_jobs.csv,5,0.7044887999999999,0.05919211011712061,0.6133370666666667,0.7962359999999999
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_1956_ea_eps3e4_mconn_p1_seed456,outputs/backfill_ea_ablation_C_20260522_1956_ea_eps3e4_mconn_p1_seed456/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light,p1_repeated_group_kfold,fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light,complete,5,5,0,outputs/backfill_ea_ablation_C_20260522_1956_ea_eps3e4_mconn_p1_seed456/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_board.csv,outputs/backfill_ea_ablation_C_20260522_1956_ea_eps3e4_mconn_p1_seed456/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_audit.json,outputs/backfill_ea_ablation_C_20260522_1956_ea_eps3e4_mconn_p1_seed456/fixed_crop_ea_whitening_eps3e4_fbstcnet_m_conn_light/protocol1_jobs.csv,5,0.69974096,0.0594606195152179,0.614588,0.7905904
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_2013_ea_eps3e4_base_p3,outputs/backfill_ea_ablation_C_20260522_2013_ea_eps3e4_base_p3/fixed_crop_ea_whitening_eps3e4_fbstcnet,p3_nested_selection,fixed_crop_ea_whitening_eps3e4_fbstcnet,complete,20,5,0,outputs/backfill_ea_ablation_C_20260522_2013_ea_eps3e4_base_p3/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_board.csv,outputs/backfill_ea_ablation_C_20260522_2013_ea_eps3e4_base_p3/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_audit.json,outputs/backfill_ea_ablation_C_20260522_2013_ea_eps3e4_base_p3/fixed_crop_ea_whitening_eps3e4_fbstcnet/protocol3_jobs.csv,5,0.7084661866666667,0.02367586844702246,0.683704,0.7488640000000001
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_2013_noea_eps3e4_base_p3,outputs/backfill_ea_ablation_C_20260522_2013_noea_eps3e4_base_p3/fixed_crop_whitening_eps3e4_fbstcnet,p3_nested_selection,fixed_crop_whitening_eps3e4_fbstcnet,complete,20,5,0,outputs/backfill_ea_ablation_C_20260522_2013_noea_eps3e4_base_p3/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_board.csv,outputs/backfill_ea_ablation_C_20260522_2013_noea_eps3e4_base_p3/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_audit.json,outputs/backfill_ea_ablation_C_20260522_2013_noea_eps3e4_base_p3/fixed_crop_whitening_eps3e4_fbstcnet/protocol3_jobs.csv,5,0.7121024533333333,0.033147050032602106,0.6709709333333332,0.7713106666666668
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_ea_ablation_C_20260522_2027_noea_eps1e3_mconn_p1_seed1024,outputs/backfill_ea_ablation_C_20260522_2027_noea_eps1e3_mconn_p1_seed1024/fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light,p1_repeated_group_kfold,fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light,complete,5,5,0,outputs/backfill_ea_ablation_C_20260522_2027_noea_eps1e3_mconn_p1_seed1024/fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_board.csv,outputs/backfill_ea_ablation_C_20260522_2027_noea_eps1e3_mconn_p1_seed1024/fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_audit.json,outputs/backfill_ea_ablation_C_20260522_2027_noea_eps1e3_mconn_p1_seed1024/fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light/protocol1_jobs.csv,5,0.71683104,0.03396853475293732,0.6729885333333333,0.7687410666666666
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_graph_C_20260522_1905_sliding_ea_dgcnn_dann_p3,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_dann_p3/sliding_ea_dgcnn_dann_cohort_w6_s1,p3_nested_selection,sliding_ea_dgcnn_dann_cohort_w6_s1,complete,20,5,0,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_dann_p3/sliding_ea_dgcnn_dann_cohort_w6_s1/protocol3_board.csv,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_dann_p3/sliding_ea_dgcnn_dann_cohort_w6_s1/protocol3_audit.json,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_dann_p3/sliding_ea_dgcnn_dann_cohort_w6_s1/protocol3_jobs.csv,5,0.6474410666666667,0.025347236429156407,0.6141893333333334,0.6887533333333332
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_graph_C_20260522_1905_sliding_ea_dgcnn_p3,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_p3/sliding_ea_dgcnn_w6_s1,p3_nested_selection,sliding_ea_dgcnn_w6_s1,complete,20,5,0,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_p3/sliding_ea_dgcnn_w6_s1/protocol3_board.csv,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_p3/sliding_ea_dgcnn_w6_s1/protocol3_audit.json,outputs/backfill_graph_C_20260522_1905_sliding_ea_dgcnn_p3/sliding_ea_dgcnn_w6_s1/protocol3_jobs.csv,5,0.6282152,0.019855123350689882,0.6100293333333333,0.6644333333333333
C,remote_protocol_scores_C.tgz,18dd01bbe5419107626747efd6ca05564ef48be5441007948df37ab433868b59,2026-05-23T23:51:21+0800,backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3,outputs/backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3/fixed_crop_ea_fbcnet_train_aug,p3_nested_selection,fixed_crop_ea_fbcnet_train_aug,complete,20,5,0,outputs/backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3/fixed_crop_ea_fbcnet_train_aug/protocol3_board.csv,outputs/backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3/fixed_crop_ea_fbcnet_train_aug/protocol3_audit.json,outputs/backfill_long_C_20260522_213117_fixed_crop_ea_fbcnet_train_aug_p3/fixed_crop_ea_fbcnet_train_aug/protocol3_jobs.csv,5,0.64102704,0.02779428147616305,0.6114816,0.6814962666666667
