protocol,n_runs,mean_subject_ba,min_subject_ba,mean_hc_recall,mean_dep_recall,mean_hc_like_precision,mean_dep_like_precision,mean_routable_fraction,passes_gate,failed_reasons
p1,15,0.7958,0.6250,0.7583,0.8333,0.9327,0.7089,0.7222,false,mean_ba;hc_like_precision;dep_like_precision;run_level
p2,9,0.7500,0.4375,0.6944,0.8056,0.9026,0.7185,0.5741,false,mean_ba;min_ba;hc_recall;hc_like_precision;dep_like_precision;run_level
