route_id,model,config_status,summary_status,audit_decision,summary_protocol,summary_seeds,summary_jobs,summary_primary_metric,summary_mean,summary_min,summary_max,remote_p1_seeds_seen,remote_p1_seed_means,remote_p1_3seed_seeds,remote_p1_3seed_jobs,remote_p1_3seed_mean,remote_p1_5seed_seeds,remote_p1_5seed_jobs,remote_p1_5seed_mean,remote_p2_complete_runs,remote_p2_best_complete_mean,remote_p2_best_complete_jobs,remote_p3_complete_runs,remote_p3_best_complete_mean,remote_p3_best_complete_outer_jobs,lightweight_p1_mean,lightweight_p1_jobs,lightweight_p2_mean,lightweight_p2_jobs,lightweight_p3_mean,lightweight_p3_jobs,audit_json_metric,source_records,source_families,notes
car_fbstcnet_as_query_noea_eps3e4_m_conn_srfnet_whitening_eps3e4_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_P2_FIXED_CROPS_AND_P3,score_fusion query_context,component manifests,,exact_single_crop_expected_BA,0.7366,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
car_fbstcnet_as_query_srfnet_reference_whitening_eps3e4_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_P2_FIXED_CROPS_AND_P3,score_fusion query_context,component manifests,,exact_single_crop_expected_BA,0.7364,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
car_fbstcnet_as_query_srfnet_whitening_eps3e4_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_P2_FIXED_CROPS_AND_P3,score_fusion query_context,protocol default unless specified by component manifests,,exact_single_crop_expected_BA,0.7307,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
car_fbstcnet_boundary_repair_noea_m_conn_srfnet_whitening_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_AND_P2_FIXED_CROPS,score_fusion margin_adaptive_query_context,component manifests,,exact_single_crop_expected_BA,0.7306,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
car_fbstcnet_margin_adaptive_srfnet_whitening_eps3e4_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_P2_FIXED_CROPS_AND_P3,score_fusion margin_adaptive_query_context,protocol default unless specified by component manifests,,exact_single_crop_expected_BA,0.7267,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
car_fbstcnet_sparse_noea_m_conn_srfnet_whitening_conformer_context_fusion,score_fusion,IDEA,IDEA,PASS_P1_AND_P2_FIXED_CROPS,score_fusion sparse query_context,component manifests,,exact_single_crop_expected_BA,0.7310,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
conformer_srfnet_score_average,score_fusion,CANDIDATE,CANDIDATE,PASS,P1,42,,exact_single_crop_expected_BA,0.6274,,,,,,,,,,,,,,,,,,,,,,,0.6274,2,candidate_audit_json;route_summary,route status unchanged; score ledger only
conformer_srfnet_whitening_eps1e3_average,score_fusion,CANDIDATE,CANDIDATE,PASS,P1,42,,exact_single_crop_expected_BA,0.6440,,,,,,,,,,,,,,,,,,,,,,,0.6440,3,candidate_audit_json;model_deep_dive_markdown_table;route_summary,route status unchanged; score ledger only
conformer_srfnet_whitening_eps3e4_average,score_fusion,CANDIDATE,CANDIDATE,PASS,P1,42,,exact_single_crop_expected_BA,0.6139,,,,,,,,,,,,,,,,,,,,,,,0.6139,2,candidate_audit_json;route_summary,route status unchanged; score ledger only
dgcnn_adaptation_fbstcnet_srfnet_conformer_score_average,score_fusion,IDEA,IDEA,PASS,P1,42,,exact_single_crop_expected_BA,0.6985,,,,,,,,,,,,,,,,,,,,,,,,1,route_summary,route status unchanged; score ledger only
ea_deformer,deformer_lite,CANDIDATE,CANDIDATE,PASS,P1,42,,exact_single_crop_expected_BA,0.6162,,,,,,,,,,,,,,,,,,,,,,,0.6162,2,candidate_audit_json;route_summary,route status unchanged; score ledger only
fbstcnet_as_query_srfnet_context_fusion,score_fusion,IDEA,IDEA,PASS,P1,42,,exact_single_crop_expected_BA,0.6934,,,,,,,,,,,,,,,,,,,,,,,0.6934,5,candidate_audit_json;model_deep_dive_markdown_table;route_summary,route status unchanged; score ledger only
fbstcnet_srfnet_conformer_score_average,score_fusion,IDEA,IDEA,PASS,P1,42,,exact_single_crop_expected_BA,0.6913,,,,,,,,,,,,,,,,,,,,,,,0.6913,7,candidate_audit_json;model_deep_dive_markdown_table;route_summary,route status unchanged; score ledger only
fbstcnet_srfnet_score_average,score_fusion,IDEA,IDEA,PASS,P1,42,,exact_single_crop_expected_BA,0.6931,,,,,,,,,,,,,,,,,,,,,,,0.6931,7,candidate_audit_json;model_deep_dive_markdown_table;route_summary,route status unchanged; score ledger only
fbstcnet_srfnet_whitening_eps1e3_average,score_fusion,IDEA,IDEA,PASS,P1,42,,exact_single_crop_expected_BA,0.6994,,,,,,,,,,,,,,,,,,,,,,,0.6994,7,candidate_audit_json;model_deep_dive_markdown_table;route_summary,route status unchanged; score ledger only
