strict_route_id,rank,mean_ba_2fold,dep_mean_ba_2fold,hc_mean_ba_2fold,cohort_gap_2fold,min_group_ba_2fold,moe_objective_2fold,router_name,router_mode,router_transform,dep_idx,hc_idx,dep_label,hc_label,full_label
strict_top7_moe_01,1,0.837272,0.858576,0.8301706666666667,0.0284053333333332,0.720368,0.8732904,p1_oof_quota_hard,quota_hard_known_dep_count,raw,0,0,random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224,random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103
strict_top7_moe_02,2,0.836216,0.854352,0.8301706666666667,0.0241813333333332,0.720368,0.8722344,p1_oof_quota_hard,quota_hard_known_dep_count,raw,1,0,random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041,random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103
strict_top7_moe_03,3,0.8360380000000001,0.85364,0.8301706666666667,0.0234693333333332,0.720368,0.8720564000000001,p1_oof_quota_hard,quota_hard_known_dep_count,raw,3,0,asha:sigmoid_t0p5:w4:fixed_crop_ea_deformer_ff2_dep_w2_ce__s42__v0:0.367+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.411+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.059+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.162,random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,second_stage_moe:p1_oof_quota_hard:raw:dep=asha:sigmoid_t0p5:w4:fixed_crop_ea_deformer_ff2_dep_w2_ce__s42__v0:0.367+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.411+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.059+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.162 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103
strict_top7_moe_04,4,0.83602,0.853568,0.8301706666666667,0.0233973333333332,0.720368,0.8720384,p1_oof_quota_hard,quota_hard_known_dep_count,raw,6,0,asha:sigmoid_t1p0:w4:fixed_crop_dgcnn_noea_zscore_dep_w3_focal15__s42__v0:0.566+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.102+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_only_ce__s42__v0:0.055+fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce__s42__v1:0.277,random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,second_stage_moe:p1_oof_quota_hard:raw:dep=asha:sigmoid_t1p0:w4:fixed_crop_dgcnn_noea_zscore_dep_w3_focal15__s42__v0:0.566+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.102+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_only_ce__s42__v0:0.055+fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce__s42__v1:0.277 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103
strict_top7_moe_05,5,0.833226,0.8546320000000001,0.8260906666666666,0.0285413333333334,0.73072,0.869762,p1_oof_rank_soft_t0p1,rank_soft_known_dep_count,raw,10,21,asha:raw:w4:fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce__s42__v1:0.193+fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light_dep_w3_ce__s42__v0:0.095+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.440+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_focal20__s42__v0:0.273,random:sigmoid_t0p75:w5:fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20__s42__v0:0.014+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.660+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.181+fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15__s42__v0:0.002+fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005__s42__v0:0.143,second_stage_moe:p1_oof_rank_soft_t0p1:raw:dep=asha:raw:w4:fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce__s42__v1:0.193+fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light_dep_w3_ce__s42__v0:0.095+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.440+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_focal20__s42__v0:0.273 | hc=random:sigmoid_t0p75:w5:fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20__s42__v0:0.014+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.660+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.181+fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15__s42__v0:0.002+fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005__s42__v0:0.143
strict_top7_moe_06,6,0.833266,0.858576,0.8248293333333333,0.0337466666666667,0.717328,0.8691323999999999,p1_oof_quota_hard,quota_hard_known_dep_count,raw,0,2,random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224,random:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247
strict_top7_moe_07,7,0.833266,0.858576,0.8248293333333333,0.0337466666666667,0.717328,0.8691323999999999,p1_oof_quota_hard,quota_hard_known_dep_count,raw,0,3,random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224,asha:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=asha:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247
