kind,label,mean_ba,dep_mean_ba,hc_mean_ba,cohort_gap,min_group_ba,n_groups,strict_route_id,rank,router_name,router_transform,source_mean_ba_2fold,source_dep_mean_ba_2fold,source_hc_mean_ba_2fold
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247,0.7802502080000002,0.696356352,0.8082148266666667,0.11185847466666665,0.469328,100,strict_top7_moe_06,6,p1_oof_quota_hard,raw,0.833266,0.858576,0.8248293333333333
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=asha:sigmoid_t1p25:w4:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w3_ce__s42__v0:0.339+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_ce__s42__v0:0.059+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.355+sliding_ea_dgcnn_w6_s1_hc_w2_ce__s42__v1:0.247,0.7802502080000002,0.696356352,0.8082148266666667,0.11185847466666665,0.469328,100,strict_top7_moe_07,7,p1_oof_quota_hard,raw,0.833266,0.858576,0.8248293333333333
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=asha:sigmoid_t0p5:w4:fixed_crop_ea_deformer_ff2_dep_w2_ce__s42__v0:0.367+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.411+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.059+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.162 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7791606400000002,0.6986399999999999,0.8060008533333333,0.10736085333333334,0.462128,100,strict_top7_moe_03,3,p1_oof_quota_hard,raw,0.8360380000000001,0.85364,0.8301706666666667
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=random:sigmoid_t1p25:w4:fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.132+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.296+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_mix75_ce__s42__v1:0.347+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_ce__s42__v0:0.224 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7790657280000001,0.6970737919999999,0.8063963733333332,0.10932258133333339,0.462128,100,strict_top7_moe_01,1,p1_oof_quota_hard,raw,0.837272,0.858576,0.8301706666666667
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=random:raw:w4:fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.466+fixed_crop_car_fbstcnet_train_channel_zscore_v1_dep_w3_smooth005__s42__v1:0.339+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_mix75_ce__s42__v0:0.155+fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_dep_resample3_ce__s42__v0:0.041 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7784836160000002,0.6974813440000002,0.8054843733333333,0.10800302933333317,0.462128,100,strict_top7_moe_02,2,p1_oof_quota_hard,raw,0.836216,0.854352,0.8301706666666667
strict_top7_p1,second_stage_moe:p1_oof_quota_hard:raw:dep=asha:sigmoid_t1p0:w4:fixed_crop_dgcnn_noea_zscore_dep_w3_focal15__s42__v0:0.566+fixed_crop_ea_deformer_ff2_dep_w3_smooth005__s42__v0:0.102+fixed_crop_whitening_eps3e4_fbstcnet_m_conn_light_dep_only_ce__s42__v0:0.055+fixed_crop_car_fbstcnet_robust_clip_train_mad8_v1_dep_resample3_ce__s42__v1:0.277 | hc=random:sigmoid_t1p0:w5:fixed_crop_car_fbstcnet_dc_shift_weak_v1_hc_w2_focal20__s42__v0:0.146+fixed_crop_car_fbstcnet_channel_noise_v1_hc_w2_focal20__s42__v0:0.024+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_ce__s42__v0:0.489+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.237+fixed_crop_car_fbstcnet_aug_light_v1_hc_w3_ce__s42__v1:0.103,0.7762848000000001,0.6868263680000001,0.8061042773333332,0.11927790933333315,0.462128,100,strict_top7_moe_04,4,p1_oof_quota_hard,raw,0.83602,0.853568,0.8301706666666667
strict_top7_p1,second_stage_moe:p1_oof_rank_soft_t0p1:raw:dep=asha:raw:w4:fixed_crop_car_fbstcnet_robust_clip_mad8_robust_zscore_v1_dep_mix75_ce__s42__v1:0.193+fixed_crop_whitening_eps1e3_fbstcnet_m_conn_light_dep_w3_ce__s42__v0:0.095+fixed_crop_dgcnn_noea_zscore_dep_w3_smooth005__s42__v0:0.440+fixed_crop_ea_dgcnn_region_scale_down_weak_v1_dep_w2_focal20__s42__v0:0.273 | hc=random:sigmoid_t0p75:w5:fixed_crop_car_fbstcnet_crop_jitter_aug_light_v1_hc_w2_focal20__s42__v0:0.014+fixed_crop_car_fbstcnet_freq_mask_weak_v1_hc_w3_focal15__s42__v0:0.660+sliding_ea_dgcnn_w6_s1_hc_w3_ce__s42__v1:0.181+fixed_crop_car_fbstcnet_time_shift_v1_hc_w3_focal15__s42__v0:0.002+fixed_crop_car_fbstcnet_band_amp_scale_weak_v1_hc_w3_smooth005__s42__v0:0.143,0.7741859199999999,0.6932697599999998,0.8011579733333334,0.10788821333333354,0.46192,100,strict_top7_moe_05,5,p1_oof_rank_soft_t0p1,raw,0.833226,0.8546320000000001,0.8260906666666666
